Period,Year,Month,Quarter,Channel,Spend,Impressions,Clicks,Conversions,Revenue_Attributed,ROAS
2014-01,2014,1,1,Paid Search,9670.9,1208862,42310,1359,250564.14,25.909
2014-01,2014,1,1,Social Media,6244.59,1040765,18733,337,72224.74,11.566
2014-01,2014,1,1,Email,1897.23,0,948,44,11640.66,6.136
2014-01,2014,1,1,Organic,2980.23,0,1490,35,8655.38,2.904
2014-01,2014,1,1,Display,5226.07,1306517,6532,63,16310.61,3.121
2014-01,2014,1,1,Direct,1134.32,0,567,70,18356.96,16.183
2014-02,2014,2,1,Paid Search,9479.98,1184997,41474,1323,315164.89,33.245
2014-02,2014,2,1,Social Media,6178.18,1029696,18534,336,84187.68,13.627
2014-02,2014,2,1,Email,1833.75,0,916,39,7670.75,4.183
2014-02,2014,2,1,Organic,3007.48,0,1503,35,9415.34,3.131
2014-02,2014,2,1,Display,4748.42,1187105,5935,57,10405.05,2.191
2014-02,2014,2,1,Direct,1174.19,0,587,73,15626.41,13.308
2014-03,2014,3,1,Paid Search,12837.41,1604676,56163,1796,379174.66,29.537
2014-03,2014,3,1,Social Media,7714.5,1285750,23143,418,90480.02,11.729
2014-03,2014,3,1,Email,2701.95,0,1350,64,12419.54,4.597
2014-03,2014,3,1,Organic,3419.13,0,1709,41,9452.37,2.765
2014-03,2014,3,1,Display,5995.66,1498915,7494,74,13608.57,2.27
2014-03,2014,3,1,Direct,1530.69,0,765,91,17836.23,11.652
2014-04,2014,4,2,Paid Search,11777.99,1472248,51528,1645,444163.68,37.711
2014-04,2014,4,2,Social Media,7858.01,1309668,23574,425,102125.07,12.996
2014-04,2014,4,2,Email,2458.27,0,1229,52,11130.01,4.528
2014-04,2014,4,2,Organic,3239.9,0,1619,38,8944.1,2.761
2014-04,2014,4,2,Display,6042.88,1510720,7553,78,20542.47,3.399
2014-04,2014,4,2,Direct,1518.78,0,759,87,17916.21,11.796
2014-05,2014,5,2,Paid Search,11674.4,1459300,51075,1631,451202.68,38.649
2014-05,2014,5,2,Social Media,7653.98,1275663,22961,409,97361.12,12.72
2014-05,2014,5,2,Email,2593.49,0,1296,57,13829.54,5.332
2014-05,2014,5,2,Organic,3306.07,0,1653,36,10057.85,3.042
2014-05,2014,5,2,Display,5914.2,1478550,7392,74,17533.39,2.965
2014-05,2014,5,2,Direct,1567.46,0,783,91,19975.75,12.744
2014-06,2014,6,2,Paid Search,12298.02,1537252,53803,1721,403234.53,32.789
2014-06,2014,6,2,Social Media,7772.92,1295486,23318,420,98002.24,12.608
2014-06,2014,6,2,Email,2558.46,0,1279,56,14527.58,5.678
2014-06,2014,6,2,Organic,3549.02,0,1774,45,12348.19,3.479
2014-06,2014,6,2,Display,5889.12,1472280,7361,73,20301.21,3.447
2014-06,2014,6,2,Direct,1412.06,0,706,86,20543.09,14.548
2014-07,2014,7,3,Paid Search,10772.25,1346531,47128,1505,301485.08,27.987
2014-07,2014,7,3,Social Media,6896.61,1149435,20689,371,85748.32,12.433
2014-07,2014,7,3,Email,2404.62,0,1202,59,15726.91,6.54
2014-07,2014,7,3,Organic,3107.52,0,1553,38,9984.57,3.213
2014-07,2014,7,3,Display,5477.1,1369275,6846,69,19016.73,3.472
2014-07,2014,7,3,Direct,1450.7,0,725,86,22824.07,15.733
2014-08,2014,8,3,Paid Search,10718.31,1339788,46892,1502,404502.15,37.739
2014-08,2014,8,3,Social Media,7126.4,1187733,21379,386,93666.47,13.144
2014-08,2014,8,3,Email,1919.21,0,959,47,11856.72,6.178
2014-08,2014,8,3,Organic,3111.98,0,1555,37,7767.76,2.496
2014-08,2014,8,3,Display,5509.9,1377475,6887,71,14759.2,2.679
2014-08,2014,8,3,Direct,1314.12,0,657,80,16756.96,12.751
2014-09,2014,9,3,Paid Search,12307.85,1538481,53846,1724,334947.39,27.214
2014-09,2014,9,3,Social Media,8286.26,1381043,24858,449,110388.47,13.322
2014-09,2014,9,3,Email,2594.29,0,1297,59,14240.26,5.489
2014-09,2014,9,3,Organic,3578.69,0,1789,44,8261.66,2.309
2014-09,2014,9,3,Display,5735.44,1433860,7169,68,12688.87,2.212
2014-09,2014,9,3,Direct,1377.56,0,688,80,20865.88,15.147
2014-10,2014,10,4,Paid Search,11815.22,1476902,51691,1654,347268.16,29.392
2014-10,2014,10,4,Social Media,8243.44,1373906,24730,445,115455.94,14.006
2014-10,2014,10,4,Email,2397.86,0,1198,53,9926.38,4.14
2014-10,2014,10,4,Organic,3514.44,0,1757,40,8129.54,2.313
2014-10,2014,10,4,Display,5771.18,1442795,7213,73,19923.36,3.452
2014-10,2014,10,4,Direct,1452.76,0,726,88,18669.16,12.851
2014-11,2014,11,4,Paid Search,17231.37,2153921,75387,2409,587910.68,34.119
2014-11,2014,11,4,Social Media,11523.14,1920523,34569,622,134216.04,11.648
2014-11,2014,11,4,Email,3675.27,0,1837,80,21509.27,5.852
2014-11,2014,11,4,Organic,5160.02,0,2580,58,13838.02,2.682
2014-11,2014,11,4,Display,8779.97,2194992,10974,108,26812.27,3.054
2014-11,2014,11,4,Direct,2195.56,0,1097,133,34879.71,15.886
2014-12,2014,12,4,Paid Search,16553.01,2069126,72419,2317,537583.36,32.476
2014-12,2014,12,4,Social Media,12394.43,2065738,37183,670,138784.43,11.197
2014-12,2014,12,4,Email,3532.75,0,1766,75,14503.71,4.106
2014-12,2014,12,4,Organic,5067.87,0,2533,62,15801.6,3.118
2014-12,2014,12,4,Display,8766.27,2191567,10957,108,22422.63,2.558
2014-12,2014,12,4,Direct,2176.67,0,1088,129,34047.47,15.642
2015-01,2015,1,1,Paid Search,10835.43,1354428,47404,1515,288136.7,26.592
2015-01,2015,1,1,Social Media,8247.43,1374571,24742,442,116807.87,14.163
2015-01,2015,1,1,Email,2013.98,0,1006,47,12651.8,6.282
2015-01,2015,1,1,Organic,2923.65,0,1461,38,8273.81,2.83
2015-01,2015,1,1,Display,4910.04,1227510,6137,61,13344.66,2.718
2015-01,2015,1,1,Direct,1371.66,0,685,85,15337.09,11.181
2015-02,2015,2,1,Paid Search,11249.93,1406241,49218,1576,388702.34,34.552
2015-02,2015,2,1,Social Media,7489.28,1248213,22467,404,84761.31,11.318
2015-02,2015,2,1,Email,2120.72,0,1060,48,11731.92,5.532
2015-02,2015,2,1,Organic,2980.96,0,1490,36,9924.48,3.329
2015-02,2015,2,1,Display,4832.71,1208177,6040,54,12191.58,2.523
2015-02,2015,2,1,Direct,1249.05,0,624,73,15839.64,12.681
2015-03,2015,3,1,Paid Search,12619.68,1577460,55211,1769,468846.56,37.152
2015-03,2015,3,1,Social Media,9603.8,1600633,28811,519,117931.43,12.28
2015-03,2015,3,1,Email,2475.53,0,1237,55,13627.97,5.505
2015-03,2015,3,1,Organic,3849.01,0,1924,44,8521.04,2.214
2015-03,2015,3,1,Display,6432.73,1608182,8040,82,17348.14,2.697
2015-03,2015,3,1,Direct,1623.18,0,811,94,23624.14,14.554
2015-04,2015,4,2,Paid Search,14543.88,1817985,63629,2036,424996.59,29.222
2015-04,2015,4,2,Social Media,9687.67,1614611,29062,522,99780.94,10.3
2015-04,2015,4,2,Email,2603.63,0,1301,55,14495.14,5.567
2015-04,2015,4,2,Organic,3802.49,0,1901,47,10776.46,2.834
2015-04,2015,4,2,Display,5872.75,1468187,7340,74,17723.97,3.018
2015-04,2015,4,2,Direct,1372.03,0,686,82,22660.69,16.516
2015-05,2015,5,2,Paid Search,13263.34,1657917,58027,1860,392806.68,29.616
2015-05,2015,5,2,Social Media,9865.56,1644260,29596,534,123957.21,12.565
2015-05,2015,5,2,Email,2719.26,0,1359,60,12393.5,4.558
2015-05,2015,5,2,Organic,3816.33,0,1908,47,10096.05,2.645
2015-05,2015,5,2,Display,6658.65,1664662,8323,85,23580.65,3.541
2015-05,2015,5,2,Direct,1454.59,0,727,87,22449.27,15.433
2015-06,2015,6,2,Paid Search,13603.94,1700492,59517,1899,399343.7,29.355
2015-06,2015,6,2,Social Media,9303.09,1550515,27909,502,127881.71,13.746
2015-06,2015,6,2,Email,2409.33,0,1204,52,14340.51,5.952
2015-06,2015,6,2,Organic,3772.22,0,1886,47,12985.01,3.442
2015-06,2015,6,2,Display,6251.29,1562822,7814,77,15595.44,2.495
2015-06,2015,6,2,Direct,1509.3,0,754,89,21559.48,14.284
2015-07,2015,7,3,Paid Search,11903.85,1487981,52079,1667,324558.68,27.265
2015-07,2015,7,3,Social Media,9404.59,1567431,28213,508,111158.82,11.82
2015-07,2015,7,3,Email,2497.18,0,1248,53,11369.52,4.553
